,content,sentiment
16924,12seconds - Friday Night Update: @siskita has left the city.  http://tiny12.tv/I3KS8,neutral
18259,A little irked at the moment,worry
34553,"has anyone else seen this? the @twitter DM notification email says &quot;reply on we web.&quot; i am all for cool accents, but it's weird online",worry
24769,@poojashetye until I break up with you via a 27 second phone call,sadness
16442,@PrettyGrl_Annie I can't  I'm goin outta twn 2night. Sorrrryyy,sadness
35151,"Up and breakfasted, about to jump in shower then heading off to the land of the black pudding for playoff part 2",surprise
35518,we don`t need no education,neutral
24823,And this is what happens when Swine Flu gets to all of us.  http://tinyurl.com/55hq2o,worry
29512,Ahhhhh now If You Go Away  by @nkotb is on @retrorewind YAY my other fav song of theirs,happiness
10817,@lizard_lipz I don't know  I haven't heard from Lorraine recently.,neutral
15867,"Dear co-worker, its great you don't want to smell, that's what deordant is for, not a bath in cologne",worry
18572,on my way to orlando and its raining,neutral
20560,"@zombiegrrl99 thanks, i feel a lot better now.. but it hurt like hell!!!  good luck with the lousy student writing.",relief
10233,@elmofromok Oh it's been so long I can't remember,worry
34767,Ah wokking was great. You could eat as much ice cream as you what. I never eat so much ice cream in my life...,happiness
9514,@Tech_N9ne I'm not having a good day,worry
17479,@TFA2431 aweee im sorry  but deep down u know i love ya!,worry
14989,OMGosh! it's 79 degrees and I'm sweating and miserable!  what am i gonna do when i visit the ATX? need..AC! need...AC!,neutral
13959,"First fail, cant tweet from phone. Oh how I love my work phone",surprise
13115,I dont like the dentist...they make my gums hurt,worry
15918,seniors done  5 more days!! woohoo!! going out for the night.,happiness
14431,@jordanknight all is quiet in twitterland 2day.,surprise
8198,@Shooz1 ok ok mam ... i was jus angry,empty
25978,DOUGIE POYNTER REPLYED TO ME,neutral
18449,My preorder of the Razer Sphex shipped today. I'll be paying to review it because Razer is ignoring my emails,neutral
15473,BGT made me cry tonight,sadness
7998,@dorritos @repressd i get migranes.. so @repressd.. that leaves you to either arthritis and/or gout!,sadness
4160,@shtoofi well just remember that tmrw is another day and hopefully won't be as craptastic. sorry girrrrl,fun
23746,"Wow, it's so early. Just had the best conversation.",happiness
33242,hey chelsee its amiera!   &lt;ufc&gt;,happiness
15934,"@Bobatnhtpc yo there ,if you guys want to make a road trip look me up in waraw or u wait  too long  Taipei",neutral
22044,going to fill my tummy with something yummy  ~ brb (via @angelistic),neutral
33076,Just watched Star Trek. A+! That was so well done. I think I'm down to see it again. Who wants to join me?,happiness
5763,@GatorsNow my feelings are hurt,sadness
34176,"but i didnt  krystal spent the night last night..i dnt think i posted that. but ya, we laughed a lot. SQUIRREL! &amp; HOUSE! new inside jokes.",happiness
39010,@sandy195850 That's me set up for an exciting Sunday lol,worry
9676,@mileycyrus i dont think you can vote anymore! i tried,neutral
18541,I think i am getting a cold,sadness
28751,@retrorewind thanks,neutral
12529,Work time....,neutral
38912,@TheWineVault thanks. but it IS seriuosly my back up plan,neutral
579,"Woke Up,I Wanna Stay In My bed",sadness
36719,@JavaGypsy You'll get the hang soon. I've sent you an email.,neutral
22095,eating organic jelly beans,neutral
20847,@Sappersmum I think I like them all.  http://bit.ly/lzRPC,love
37697,"Feeling very grateful for such a great Mum, and family",love
10179,still waiting,neutral
19185,Nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys  then headin to sleep early start  7am x,neutral
1236,@JERI7YN aww you're going back to east coast again?i haven't even seeen you!,worry
11038,warmed up nicely outside.  sucks being stuck inside coding,neutral
24409,"@sebby_peek mkay :/ did you tell him on msn? bfgurelgbsr yeah, i guess so, i don't know if i like it, i'll wait till i get your opinion",worry
17652,@LDYoung I like them.  Is that weird?,neutral
3182,i thought payday was today but its on saturday  so happy hour wont be happening today lol...thank goodness its friday tho !!,worry
39549,"@NukeSpoon precisely.  The more followers you have, the more important you feel  http://twitter.pbworks.com/Hashtags explains a bit more.",empty
19990,"Gossip Fluffodile here. The latest? Mad night with Teg, Jack, Lou, Tess and Frey. Had a gender war. But I was v. sad for a friend also",sadness
37798,says I LOVE YOU MOM  http://plurk.com/p/svm0w,love
29049,"@HeatherHAL Thanks Heather, glad you like the dish",relief
14606,i`m so tired,neutral
32000,"@ReBeLR My day was cool, a lil twisted...  I won't spam twitter like I did last week tho.",neutral
36677,4am. And Im on the beach. Pretty,worry
21797,going to look in the refrigerator for a taste snack to eat,fun
22510,@taylorswift13 that video was funny  i'm just signing up now and i'll vote for you!!  x,love
23198,"@R1CC1 that's funny...well, i'll say bye again b/c i'm really THAT delirious...lol... i worked 13 hrs i think...crazy...anyhoo bye lady!",happiness
14073,@KaseyTheGreat I submitted my resume the same day and saw no answer back. Oh well...,worry
32360,@Tyrese4ReaL hi (My Man) lOl I love you too... The song was clearer just had to turn my phone down,worry
27463,@davechapman A new baby? How exciting  Congrats in advance,happiness
36156,Hopes to find more mates that are on this thing,fun
24631,@Pink congradts on ur show  Even tho i wasnt there lol,happiness
15561,"I kind of miss a certain someone already.  and, i never get to see him again.",worry
4728,"My sunburn is peeling,",worry
597,@slickiris video is not available to us foreigners,neutral
3591,Half term is almost over,neutral
29072,@_Esme_Cullen_  I'm taking a million songs from your blip.fm station thing. Sorry,worry
26243,"@robluketic when you see Jackson later today, give him hugs n' kisses from me",love
32091,Just got home from a wonderful day with my family!!  I had so much fun today.,happiness
5279,misses driving already,worry
7082,Back at the vet and it isn't good,worry
23090,"@hypnoticzexy Ooooh, so you're the dream husband. lol =D I saw Stranthorpe on a map today and thought thought of dear Shea! lol",fun
16611,".@throwedmind210 No sun  but I can see the ocean now..I almost ran over a squirrel driving home from the store, was so foggy! Where r you?",neutral
20816,"Cape Town is beautiful! Sun is shining, amazing landscape and everything is &quot;easy going&quot;!",fun
37788,"just came back from seeing the boat that rocked, it was an amazingly cool movie, definitely getting it on DVD once its out",happiness
21416,@peterjrday Thanks. Feel so happy 2 Make Ur Day a Great one. Enjoy it 2 the fullest N Have Fun Always,happiness
30308,is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! &gt;[_()\/3,worry
13273,"@evienyc: Aww, that sux!  @Sitatara_x3: Eeek for Airline charges!!! (X_X)",worry
18949,@g1mm34d my bad. I thought you were talking about today,neutral
12944,"@joemuggs urgh...Grime, me no likey",sadness
8125,Can't believe i'm spending my lunch break inside @ my desk,surprise
4017,@bdule the installer is crashing towards the end of the installation,worry
24600,"@DjChino102Jamz  I just got through doing my work now I can take the whole day off, its great being your own boss",happiness
2761,Least u can get some more! Im broke,neutral
9251,Aaggh!! My blackberry curve took a gash in the screen the day AFTER we get invisible shields in stock. Well it'll be a good advertisement,relief
9943,@sianhughes_ i kinda hope she died in the fire cause i didnt like her but there was no sign of a body,neutral
8777,@charlieskies  that is actually a better name than fluffballthegodzilla (my youtube username).  ive been beaten,sadness
34519,"@cara_rosaen i LOVE your new bracelets!! im a very proud sista...you rock, girly",love
21764,via @uhmmm: Christopher Moore &quot;You Suck&quot; - hmm tja.. sucks,hate
14623,@annejsimmons Just the mother of all bad days,sadness
20743,bed time! night yall!,relief
12346,@KaarinE Me too I need the sudden urge to do it. Missing the Diplomat title,worry
36315,@MariahCarey &quot;VISION OF LOVE&quot; Play now &quot;i had the vision of luv n it was aaaaaoOUoOuoOUU that u..turn out..toOoo&quot; Mariah this ur part,happiness
30735,watching laura's nephew dance,neutral
23026,@Mizz_Trouble my pleasure sweetie! Lookin forward 2 gettin 2 know u,happiness
26905,"@gfalcone601 Hey gio, you are beautiful! I am Brazilian and I love you hahahaha! Please answer me  Xx",love
1967,I just lost a fight against @hangy on Tweefight. I lost  Please revenge me! Try now http://tweefight.com/?opp=hangy,worry
21742,@Melancthe that depends on how many itty-bitty-kitties want to sit on my lap,neutral
25358,"Dinner with Ali tonight celebrating her first day at the new job, will be near Trader Joe's, might just have to stop in",happiness
26585,At work making more $$.. The only thing that keeps me going is knowing I can SHOP some more once I get paid  I'm becomin a SHOPAHOLIC hehe,fun
2112,Its chilly n lonley n this livingroom,worry
11837,I'm loving the humidity right now...great for the skin....another love that won't last,love
16420,Finally got a date for the bonfire tonight. Kinda last option but whatever. None of the chicks I wanted to go with never texted me back,relief
8092,in media still havnet found ipod,worry
25065,"@michaelmagical I will definitely pray, and bath  thanks",neutral
12843,Bad day  The day you realize what mess you've put me through will be one of the happiest days of my life...,worry
20003,@db0y8199 lol thats the kind im eating!!,neutral
13357,@UncleRUSH so unfair i wanted to watch it but up came a message saying &quot;this video is not currently available in your country&quot;,sadness
3247,http://bit.ly/Wl9yL  i want to go here,enthusiasm
17494,Off to the gym by myself!  no fun!,sadness
39763,@lindseyrainbow save me one,neutral
16243,Man my daddy left to work again  I never see him a lot I miss my daddy :' (,sadness
33782,"just got to kansas city and excited for a fun weekend with my family, my sis, parker and josh",love
25855,It's only 10:30 and I am going to BED! Brain can't focus at all.. Need a fresh new start. I pray that God grants me a fresh tomorrow.,relief
34793,seeing shane dawson videos,neutral
25693,@boldnbright1 Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,relief
30259,@ThinkReferrals oh man I'm jealous!  just got it?,worry
15910,@myrewyn oh no! Poor thing keep us posted.,worry
24277,ready to go home,enthusiasm
23428,&quot;family bird is the word&quot; I &lt;3 FAMILY GUY,neutral
5442,i need to get my life together aka my apartment all cleaned and back how it was before my birthday,sadness
9783,eating my roommate's cereal. sorry bro,neutral
32127,Just got a bunch of presents in the mail from my mama! So excited to open them on my birthday... 3 more days!,happiness
34101,Sï¿½i Gï¿½n sï¿½ng n?ng chi?u m?a,neutral
24364,@duskyazure yeah that sounds more sensible. thought you had a heston bleumenthal moment of genius somehow!,fun
16181,"@ddlovato it's quite hard cause when you attempt to spread it, the cornbread falls apart...",worry
4536,This weather is awful! I just want to curl up and read a book all day,sadness
23775,"@BRIAN_____ re:firmware. Heh, just a coincidence. I didn't do anything. Maybe the SW guys heard you?",surprise
18491,it's sooo warm,love
8714,@channilein It didn't start as a long message ... It just got longer when I wrote it,surprise
14374,is cursing AB's wardrobe handles. One drew blood,empty
27956,@ileanedover HEYHEYHEYY happy star wars day   watcha doin this friday? up for a movie?,happiness
26973,@wirbelwind1111 I just LOVE it.,love
16098,Trips are soooo not fun when you're sick,worry
4926,i really want to see cash cash again,happiness
34775,"I have seen Star Trek, so now you guys can't spoil it  If you haven't seen it, Go. Go now.",happiness
24969,"http://www.facebook.com/pages/HelloTxt/73275306275 this message is posted on HelloTxt Facebook Fan page through HelloTxt, check it out",neutral
13693,rushing to sitter to pick up my 103F-fevered preschooler,worry
37080,"@trswift yep, meeeee  I'm awesome hahahha",happiness
33165,@lightgood thank you  You too! I hope this turns out to be a top week for you.,worry
11745,no one to go see Tiesto with,sadness
21128,@lrkane LOL! No worries  You wanna take care of tickets? I can do a $$ EFT or whatever...,relief
30582,"@amyxstftk actually, i really do. mostly when i forget to take off my makeup before bed",sadness
30804,@christinerose Congratulations on winning the Indie Award,love
3854,can't wait to see marco later; not feeling my best,sadness
36988,@xsub1 Was at Ruby Skye last night as well! Superb set by Steve. The last hour was loaded with Thrillseekers material old and new,happiness
2961,@ncremins thats not really fair. I mean you just up and leave like that and you dont even give us a party  So when you coming back or  ...,sadness
13520,@compassandcoin you are not alone,neutral
23787,@BreakfastNews why thankyou  @chris_garner suggested Fannie Bay (but it is in Darwin),empty
5844,@elizabite  I'm so sorry.  I don't understand why some people expect everyone to react to these things with the same &quot;poise&quot; as themselves,worry
32666,@NoraFrost Thanks for the #followfriday mention. I really couldn't make up a better name for myself.,love
8159,"Sitting in Mrs. Martins class, youtube is being stupid. and i REALLY want a popsicle!!! jealous of Sara",hate
32250,I went to prom tonight.  My hair was cooler this time around...and I did it myself for free.,love
19132,@jinime Your schmoo is moving? Are you sad?,surprise
34152,@missflipflop Night girl! Seriously want to hear stories when you can,fun
23150,"@areyoumee yeaaaah lol, i'm just insane",fun
12102,@saydiemason Well i don't what we should do,worry
28924,Fun at the water park then dinner at the rainforest cafe (all free!) then party tonight  pretty good Saturday I think.,happiness
9729,Just lost respect to someone.,sadness
991,@ZachMoore1 I thought I was going to see a pic of your clean car,worry
14709,what an awkward day. it sucked,worry
7381,"Beer, garden, IPOD, Friday night, shame I've got to work tomorrow",sadness
8989,@imreallydope your phone isn't working!,worry
14187,@britttnicole you don't like them?,neutral
22306,@miarav Wanna come with?  Before we go to Myka's party.,neutral
28093,@LarryWalksFast Cool. That'd be fantastic!,happiness
24000,@girltrumpet yeahh  idk if i like owen anymore though... i kinda lost respect for him in an episode i recorded...,hate
35,Screw you @davidbrussee! I only have 3 weeks...,neutral
8697,just watching hollyoaks omg,surprise
35128,@MattBovell I think he meant this pic - I don't know what other one he might have seen! But really - this is as hot as it gets,surprise
21865,@Lauratheexpat very very cute  and fun to watch.,love
4575,"http://twitpic.com/66nbd - Ready for our 3D Jonas Brothers Experience. Real Brothers, not included",neutral
20052,wish I was at #eurodjangocon,neutral
36806,@Sissillie i honestly hope the theatre gets hit by a meteor before you get there,hate
38814,Feeling the effects of the party last night. Drank far too much. 2 chicken burgers and one lamb burger. I did dance a fair bit tho.,worry
25834,@HerbsandTea Our garden has never looked so good thanks to all the Spring rain. Of course it helped that I spent 4 days weeding it,worry
28528,@IvoryValentine have you seen &quot;The Fifth Element&quot;? makes &quot;super green&quot; a lot funnier,happiness
18919,Waiting for the Denver game to come on.. but i dont think their gonna win it  Lakers suck lol :p.... Come on Denver!!,worry
6500,"can't wait to get his hands on his new blackberry, this one is dying on me",worry
18557,"I'm very upset right now, like I can't even formulate a complete thought....",sadness
11318,does not like ups much today...,hate
39408,"Happy Mother's Day, Moms!!! You are wonderful!! Have a great day",love
10865,"Just figured out why only strong guys are supposed to put heavy things on top shelves, ouch!",surprise
26675,@sway_sway_baby mighty boosh kicks arse,hate
1073,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.,sadness
9832,@justababy I make that same face when I get home and your mom is watching soaps.,surprise
6434,"Has been listening to 2 nine yr olds, murdering hannah montanna on disney sing it.. Bring on the headache tablets!!",worry
22530,lï¿½m ti?c m?ng MM gia nh?p h?i ?i ah,neutral
12581,"I got so much gray hair all of a sudden.  I just ordered me some Garnier Roasted Coffee from drugstore.com, well see how that goes.",surprise
28624,waiting for JONAS to come on,fun
22856,chillaxing really  Yeah man hehe,love
7883,"@Jobishia That was pretty awesome on both our parts, but a person on a bike behind you said hello and left before I recognized him",neutral
21893,@threalmiarose hey mia!  totally adore your music.  when will your cd be out?,fun
20010,I have the Job  this is a nice day it can not be better,love
11540,"Ach I'm back on t'internet, and @lucypaw has to go drive her mate somewhere so is w'out internet",neutral
16308,"Back from the pub, want more peroni",neutral
17860,Looking for the @japadog in Coal Harbour. Can't find it!,worry
2062,cavs got lucky 2night  lol but lebron took over and killed em another triple double,worry
19425,@sarah6800 I miss you already. All the sad faces you texted me were seriously gonna make me cry.,sadness
23838,Kicking Back In The Holidays  No More School for a whiles,fun
8337,"I don't get it, I was feeling fine yesterday. and now im a ball of sickness ! i hate the flu,",neutral
33517,@MissSididdy ur welcome...anytime,worry
29144,gonna eat pizza. what are you doing??,neutral
24307,I am freezing,neutral
26977,@miss_om &quot;If I should paint my fingernails green- oh and it just so happens I do paint them green...&quot;  Marvelous,happiness
30935,@bkGirlFriday thanks! You're the first one to wish me a happy mother's day,love
38342,@spoonerist Oooh! goodluck for the rest of them,surprise
21053,@foxmarta Look forward to seeing the resume!,fun
6035,I think I might like Twiterfon better than Tweetie now. Recent upgrades from Twiterfon have been great! None from Tweetie,worry
19739,"@UndressJess Wish could, but riding a tour from Chicago back to Iowa.",neutral
15361,"14 hours later, I am still too drunk to drive... For shame on me for letting myself drink that much. I am not in peak spirits right now.",worry
35217,I'm emailing my best friend Deanna with my yahoo account. Emailing is FUN.  &lt;3,love
29673,@Pearlwhite27 ohh i love green and purple.. and BLACK!,neutral
20039,listening to i can't wait - akon feat t pain . i love this song,love
12650,enjoying a fresh mango bubble-tea slush   but still at work,hate
15230,Already misses the Dunhams.,sadness
18004,@mitchelmusso I wish I was able to talk to you.,worry
22945,@scaree  I hope today just flows through and lots of nice things happen at work so you come home happy,relief
24892,@decryption That is awesome..,fun
8237,@thehoodnerd    Ive been dying for those!! They just so expensive in little sizes.,relief
28262,... thanks everybody for your wonderful feedback re my Happiletter,love
61,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
29560,@Cassivellaunus Friends in Ent Industry have said it was really really good.  Hopefully I can convince my wife into a date night  #hhrs,love
5813,"Ouch, my back. Man I'm sick",worry
7301,"is it too late to jump on a plane to Richmond, VA and go to the Conditions concert?! ...i think that's a yes  boo my life. and ohio.",worry
12681,Yikes. That poor girl on BGT. That was quite hard to watch,worry
199,Needs a job BADLY!!!,worry
21690,http://xkcd.com/577/ - today's xkcd  Looking forward to daily updates this week!,neutral
5904,@dreamobscene I know how you feel  Have a lovely relaxing weekend!,happiness
31733,got a new prom dress,happiness
27895,from last Montday's award ceremony  http://twitpic.com/4jkvl,happiness
8571,"going to work at one sucks, I miss happy hour at sonic",sadness
20727,Morning and hope everyone has a great bank holiday,neutral
21878,@martincarstens I think your just trying to make me feel better!,love
3382,"@truestepper Other people have their Glasgow ones, standing and seats, for all nights.",love
17827,Ok so I've now got a bit of a bad back after lifting all drum hardware into my car   downer.,neutral
6150,Venus Williams is having a horrible day at the office,worry
15745,thinks that Pipers molars are cutting thru  we had a nice lil nap me and the girl...now just another friday night at home w/ the lil ones,love
16863,"wishing, i was at the michou show right now.. god. life isnt fair",sadness
11170,My tummy hurts...,sadness
273,is thinking so much and i'm at work,surprise
12911,aWWW Poor Holly,sadness
8849,When God created man i also believed he created a million people to get on ya tits for a laff,empty
6133,@aidadoll LMAAAOOOOO that is horrible. Poor thing,worry
10395,"I definitely missed listening to The Spill Canvas, I miss seeing them live as well  &quot;Now I'm in stitches ooooover you and oooover you, oh&quot;",sadness
27815,"@SuzeBoozey LOL good to know the time in LA, it's a 9h time difference ... @gorjess1 good morning to ya",love
741,so tense..so emotional...so not me..,neutral
24481,@filogrrl yeaaa i just got the link off his lj,surprise
7325,"@serena_eliza ohhhh that makes sense then. 8D and i need to reread the lotr trilogy, i lost the three books a long time ago and i'm sad.",worry
3075,I guess its bedtime. Goodnight twitter.  my bed is so big and empty without him.,sadness
18046,Mr amp over heated,neutral
25642,@julienviet Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,happiness
8644,Goodbye sex in the city  let me hurry and give mi cuz that paper work @lailashah !!! Have 2 have summer in BK !!!,happiness
8287,Aw. Toy Story 3 is coming out NEXT year.,neutral
6403,@ME215 I know it's just a sprain. It's a repetitive injury for me.,worry
8964,Homey missed da bus.,worry
3708,@RedBaff no wine here - I don;t drink  - but I have have plenty of forbidden cholocate,empty
15804,"@MarkBilly it is very unlucky  the day wasn't the same without you! i hope to see you on wednesday though, right? x",neutral
31769,500! updates! wooow!! haha!!,fun
13321,@mleshock Noooo! Poor SE,worry
36505,@irishprincess41 it was great to meet ya katie...awesome shows for sure!! Safe travels home.,happiness
11135,It's a sad day for beer drinking movie goers. The Speakeasy theaters are no more,sadness
39898,happy mothers day!,love
4982,@sapauljoseph me too  chrome's popup blocker is better,neutral
15721,"@thewbdotcom Sadly, I can't view that site due to region restrictions",sadness
23275,@LifesavvyChic I appreciate your kind words. I am glad that the words resonate with you,relief
22700,@JohnhampsonUK Oh very nice! I hope you have a wonderfully relaxing day!,love
36781,@Courageous_one Very much so.  Setting some goals for the next couple of months in preparation,happiness
25504,@DanielBedingfld is this a new album?? about bloody time too!!,relief
23079,"FINALLY FINISHED MY FUCKING FILM FINAL!!!  (Well, all except 1 part, but idk how to do it....) :/",neutral
29965,a salt pig thing coz she broke her other one! lol  do you guys even no wat a salt pig is?,surprise
33477,Good nite everybody!  &lt;:Baby Boy:&gt;,happiness
29669,"Is having a darts party with the parentals, my neighbor, and @livia9778!",neutral
1303,very very bad headache that is getting worse by the minute not better.,worry
2748,Can't wait to come home! I miss my Bubba. Too bad my parents are taking him to Canada.,sadness
30932,"@mattgreen110 Yah, I know. I appreciate it a ton",love
581,"@dravenreborn yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",worry
11507,noooo! @shutuppat  all summer?! I won't see your charming little face ALL summer?!,surprise
25476,@ThiagoAcquaviva You're such a sappy little fellow!  Thanks for all the well wishes. I'll need them. After today I have one more exam.,love
22825,@rosehwang Always welcome sweetie! *HUGS*,love
20980,It's raining that fine rain!!! U know the fine rain that wets you the most,happiness
28138,@orbicule wow great promo for orbicule. is there an english translation somewhere? my Norwegian isn't that good,sadness
19026,@RobPattzNews  Youtube? outside the US can't see it,neutral
30154,@sparrowstudio They turned out great! And I had a killer workout before-hand so no guilt,happiness
35286,been high azza bitch all day.... was goody... i missed u twitter,sadness
33149,@CiaoBella50 Evening! How are you this Sat night?,happiness
15253,A lovely couple of days with friends from Wolverhampton. At least the weather improved for their last day today. On call tomorrow,love
19091,This has been a dismal week.,worry
8802,@Mig177 its what i say why!!!! k4ge last day at the job today  we wont be saying him around anymore,sadness
26433,@dannywood glad u could check in with us today. keep in touch.,happiness
4791,"I just found out that one of my friends, someone who I use to talk to all the time who has disappeared is blocking me from Flickr.",surprise
36885,@missxtatti Thanks for adding me,happiness
8197,I'm gettin ready for my trip back to MA...  I don't wanna leave!,worry
27842,"@mileycyrus http://twitpic.com/3goxn - yes , everybody love you. i'm a german Fan. Follow me !",love
18883,"@ForrestTheCat awww, I hates it wen families are brokun up by humuns. Maybee you see him agin wun day.",hate
27330,@ianweiqiang Interesting Combination  Have a great one ;),worry
32406,@thnkhappythghts HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,worry
3497,I would Join you shopping but i have work all weekend  six degrees of seperation is confsuing,worry
37125,@Pimplepopper: Where did you get a copy? I wanna watch that also.,happiness
16978,@jkocurek @mikeflynn - really? What a waste of money then,surprise
4704,@katismonster OMG are u still naked 1313 XDD omg i miss you so muuch,neutral
7699,@alsotop /drool. I still need to 100% the first one,worry
32557,Hmm I guess where the world is headed 2day....Lets make predictions,worry
21375,@KristinStewart SherriEShepherd gave the link for @Brento http://www.brentozar.com/twitter. He gives Twitter tips. Hope this helps,neutral
14206,@looloojoju aww  im ok been stuck on a coach coming back from nans today and its been lovely sunshine too  xx,love
25979,"@Lowri_Bones Four capital letters. Aye boy, same as that. I heart Justice.",neutral
23986,ya i walked into the wall thats why i have a plaster on my neck,neutral
30511,wish all the mother in the flatworld have a happy &amp; awesome mother's day,love
27322,@whitbull So that is different than normal how?,neutral
5229,painting my nails green in an attempt to look like an army person. annoyed that everyone seems to tan apart from me! freckles and sunburn,worry
2849,Bah day is not ending as nicely as it began,sadness
31427,@Poekasso Howz it going hun??,relief
6161,im grounded tonight  i hate stupid silent mode,hate
15845,So much for running outside like I thought I was going to  looks like the treadmill will have to do for today....thanks a lot rain,hate
35370,@Austra Thank you for smoking!!!!!!  viennoziimiigi,happiness
25353,@tweeterdiva It's easy.....just turn your keyboard upside down,fun
9918,"Only things left to do are to sweep and mop, load up the van, and go out and have fun tonight.",fun
24377,@dholbach Sounds good. &quot;This patch was brought to you by ...&quot;,worry
35448,@RetroRewind working out to your station - cool. Love yer music  kk back to the sweating part .....lol l8a xxx,happiness
39083,@ROAR_Fear_Me Doing very well thank you very much - spending a lot of time behind the PC but with a focus and determination,happiness
3204,@maddysen ohhh i wanna go  gahhh but i dunnooooooo :S me confuzzzledd should i or not???,worry
33240,"we finally hit 1,000 friends! thanks!",happiness
9226,@tsa4string Have fun at the show tonight... wish I could be there,relief
980,@sfannah Ahhhhh  Well at least I'm up to!,sadness
35457,"Wooow, I haven't charged my iPod Touch all day today, and it's still ALIVE! That's so coolio",happiness
36464,"@nkotbgadget Follow me please, so I can DM you...",neutral
5264,"Oh man, there are dead deer everywhere in michigan.",surprise
34372,@phaoloo Thank you so much phaoloo !!!!,love
22949,Im still in my my pjs  but I haveto get dressed cuz Im going to see Dancing on Ice live,enthusiasm
25209,"Just left Brooklyn going uptown for some latin coffee with a dollar sandwich, can't find that in downtown Brooklyn, where Brooklyn @",neutral
20150,@DavidArchie I tweet sooo much about you. Gahd.  Hahaha!,happiness
16464,I miss him  ARGH,sadness
16399,@TaraCherish i guess it wasnt meant to be..,neutral
6025,@Lipstick_kiss I can't find it on YouTube   only the concert versions....HELP!!!,worry
35202,@OlmyT Sure. I'll try n keep that up! =P You enjoy studying. Cya!,neutral
19353,hi from chile!!! It's 9 deg C  winter's coming....cant wait for cali sun.,fun
1533,i'm so bored i can barely even tweet. i have nothing to talk about.  #boredboots,sadness
21717,hmmm new search bar on #twitter,empty
18677,zzzzz.. best friend going to europe in a few hours  .. i'm gonna miss her! hope she has fun though,worry
2916,sad day!!!!! Love you Maï¿½ (8 years ago!),sadness
23491,"@avrilchan that is of course, u don't mind some old ppl as well",happiness
826,fml my work uniform is on the washing line,worry
6969,"@tommcfly I'm running out of things to say, and I'm starting to think you'll hate me for flooding your inbox with &quot;Philippines tour?&quot;",surprise
19323,"@SourTwittles Hahahaha! I didn't know it said that, sheeeeittt! I don't get why I can't have a picture... bwaaaahhh",worry
16232,@LilMissOpinion I just noticed that  They are so ridiculous,love
20660,@TweetNewz Good prices for bulk SMS and Premium SMS too  http://promotion.itagg.com,neutral
1177,"@workhomexpert Nope, re-reading it all over again.     No offense meant",neutral
3747,Home. Don't think i'll wake up at 5. :-p I had set an alarm for 6 in the kids' room &amp; forgot to turn it off. I feel bad about that.,worry
1154,is feeling really sick,worry
13158,Reception food at Long Beach graduation = no Champagne  http://twitpic.com/67eba,happiness
32048,Congratulations Mr. Jay-el and Mrs. Maricar Chu! Wish you all the best in the world!,happiness
38282,"@JasonBradbury for sure  ...suprisingly addictive tho, i only just signed up after months of trying to resist.",surprise
1268,off to my Psychology class.,relief
19601,Just thought about my hubby being deployed n now I got the blues  I need a stiff drink but I'm breastfeeding so no booze for me :/ Ugh!!,sadness
26533,@octoberalex Hmm. Did you mean to start &quot;following&quot; me? Oh and g'morning by the way!,empty
13239,OMG somethings spooky on twitter,surprise
942,@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon,sadness
38412,It's about to rain!!,neutral
12887,"hey @mitchelmusso please reply me, i can't call you im from Mexico and i don't know the code  love you",love
33160,@meesabythewater thank you so much,happiness
2327,"Desperately wishing I could sleep - But I am too frazzled about my Gma, and can't sleep.. :'( It's really bad tonight  xx",sadness
8575,@elishakhalid I called but you didnt answer,neutral
10085,Still white despite being out for ages in the sun,sadness
33215,good times haha ily christian and mo  gonna watch dazed and confused in a while ha also my first time watching it ha im so lame,relief
9777,@billbathgate hotttie poooh!!!! ooo i bet it sounda magical (HH) im coming home in 1 hour,fun
25925,I just went to Metro Diner for the first time. It was awesome.,happiness
32485,"party was awesome. soooo tired, bye. ps: happy momma's day",worry
9772,"@simplysinister that sucks  I seriously hope you feel better soon, you need to come over next week!!!",sadness
11642,Babysitting in the sun and heat. I'm getting lots of freckles,worry
17442,Jon made one of the greatest dinners ever: roast pork tenderloin on a bed of wild rice on a bed of mixed greens &amp; yummy sauce. No wine,happiness
9222,says misses my cousins so badly!!!  http://plurk.com/p/x2bha,sadness
24745,@evatweets feel better soon! Your immune system must be away on holiday somewhere... probably with mine,worry
34953,"@SpicyBev yep, itï¿½s Mothers Day here as well but me and my family ignore it!  weï¿½re celebrating it EVERY day ... LOL",sadness
303,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",neutral
34453,@matheusmr sejaaaaa beeeem vindo meu anjo,neutral
26276,@dannywood My mind is going to the gutter,neutral
22601,@an_other Excellent analogy,happiness
37948,@ParentByNature that is so lovely,happiness
31937,"2night- dance parties, fun times, &amp; awkward situations  highlight- driving w/ nims and annie listening to satellite windows downnnn",happiness
